PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, AV06
Station name, AKU_AkutPtAK2005
Begin Date, 2005-06-22
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, AV06.pbo.nam08.pos
Offset from source file, -12.60 mm North, -7.17 mm East, 12.53 mm Vertical
Reference position, 54.1471796925 North Latitude, -165.7657206321 East Longitude, 463.09852 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-06-22,0.00, 0.00, 0.00, 2.49, 1.84, 7.94, repro,
2005-06-23,0.04, 0.51, 1.32, 1.93, 1.54, 6.62, repro,
2005-06-24,2.87, 1.59, 4.31, 1.92, 1.45, 6.46, repro,
2005-06-25,-1.83, 0.66, -4.00, 1.73, 1.34, 5.86, repro,
2005-06-26,-0.86, -0.28, 2.95, 1.86, 1.4, 6.29, repro,
2005-06-27,-1.98, 0.38, 0.50, 2.01, 1.53, 6.79, repro,
2005-06-28,-2.60, -0.04, -3.57, 1.68, 1.31, 5.78, repro,
2005-06-29,0.83, -0.64, -0.28, 1.73, 1.34, 5.49, repro,
2005-06-30,1.53, -0.06, -2.80, 1.75, 1.36, 5.56, repro,
2005-07-01,-0.14, 0.03, -1.82, 1.82, 1.41, 5.81, repro,
2005-07-02,1.41, 0.15, -0.94, 1.91, 1.47, 6.07, repro,
2005-07-03,0.03, 0.93, -5.73, 1.58, 1.23, 5.33, repro,
2005-07-04,-1.07, 1.43, -3.35, 1.75, 1.36, 5.91, repro,
2005-07-05,0.02, -0.21, 1.09, 1.55, 1.21, 5.29, repro,
2005-07-06,1.05, 0.88, 1.29, 1.59, 1.25, 5.42, repro,
2005-07-07,0.98, 0.92, -2.66, 1.5, 1.18, 5.11, repro,
2005-07-08,0.88, 0.93, -2.49, 1.5, 1.17, 5.1, repro,
2005-07-09,1.05, 2.28, 0.67, 1.71, 1.32, 5.78, repro,
2005-07-10,0.96, 0.63, 2.04, 1.6, 1.26, 5.49, repro,
2005-07-11,1.31, 0.23, 1.05, 1.58, 1.23, 5.38, repro,
2005-07-12,0.50, 0.33, -0.26, 1.44, 1.16, 4.96, repro,
2005-07-13,0.90, -0.28, -1.38, 1.46, 1.18, 5.02, repro,
2005-07-14,1.51, -0.13, -3.14, 1.58, 1.26, 5.39, repro,
2005-07-15,2.82, 1.54, 10.45, 1.94, 1.51, 6.51, repro,
2005-07-16,-3.50, 2.53, 16.18, 1.92, 1.49, 6.43, repro,
2005-07-17,0.59, 1.66, 5.15, 1.76, 1.39, 5.97, repro,
2005-07-18,1.79, -0.43, 1.75, 1.48, 1.18, 5.08, repro,
2005-07-19,2.87, 1.37, -6.93, 1.57, 1.24, 5.35, repro,
2005-07-20,2.73, -0.23, -3.22, 1.66, 1.31, 5.65, repro,
2005-07-21,0.25, 1.26, -5.23, 1.52, 1.2, 5.17, repro,
2005-07-22,1.61, 0.27, -6.69, 1.55, 1.22, 5.25, repro,
2005-07-23,1.36, -0.40, 0.68, 1.39, 1.09, 4.7, repro,
2005-07-24,-1.15, 0.53, -1.12, 1.57, 1.25, 5.24, repro,
2005-07-25,-0.75, 0.89, -9.07, 1.57, 1.26, 5.25, repro,
2005-07-26,1.20, 1.24, -5.69, 1.47, 1.16, 4.96, repro,
2005-07-27,4.03, -2.01, -1.24, 1.81, 1.43, 6, repro,
2005-07-28,-0.15, -0.73, -6.05, 1.62, 1.28, 5.44, repro,
2005-07-29,1.55, -0.15, -3.85, 1.54, 1.21, 5.06, repro,
2005-07-30,1.62, 0.15, 0.56, 1.51, 1.2, 5.13, repro,
2005-07-31,2.75, -1.04, 3.64, 1.87, 1.42, 6.06, repro,
2005-08-01,1.21, -1.29, 1.57, 1.57, 1.26, 5.37, repro,
2005-08-02,0.27, 0.87, -5.52, 1.67, 1.32, 5.65, repro,
2005-08-03,1.64, -0.70, 1.34, 1.57, 1.23, 5.34, repro,
2005-08-04,1.44, -0.97, 0.67, 1.48, 1.16, 5.1, repro,
2005-08-05,2.29, -0.20, -1.32, 1.44, 1.13, 4.93, repro,
2005-08-06,8.61, 2.17, 0.70, 1.85, 1.43, 6.29, repro,
2005-08-07,11.83, 3.28, 5.06, 1.82, 1.4, 6.09, repro,
2005-08-08,9.23, -2.45, -4.28, 2.22, 1.65, 7.32, repro,
2005-08-09,-8.37, -1.54, -27.90, 2.43, 1.79, 8.03, repro,
2005-08-10,-2.97, -1.83, -16.45, 1.9, 1.43, 6.34, repro,
2005-08-11,0.95, -2.65, -13.96, 2.3, 1.67, 7.46, repro,
2005-08-12,11.33, -0.16, 8.02, 2.06, 1.54, 6.79, repro,
2005-08-13,2.53, 1.11, -2.97, 1.62, 1.24, 5.47, repro,
2005-08-14,2.37, -1.59, 0.75, 1.59, 1.22, 5.39, repro,
2005-08-15,1.34, -0.90, 1.37, 1.67, 1.28, 5.65, repro,
2005-08-16,3.21, -0.54, -3.75, 1.54, 1.18, 5.25, repro,
2005-08-17,2.66, -0.65, -3.67, 1.47, 1.12, 5.03, repro,
2005-08-18,0.13, -1.44, 7.03, 1.84, 1.39, 6.2, repro,
2005-08-19,3.68, -2.10, 1.13, 1.77, 1.34, 5.99, repro,
2005-08-20,2.87, -1.70, 5.54, 1.56, 1.19, 5.33, repro,
2005-08-21,2.17, 1.31, 4.66, 1.81, 1.37, 6.11, repro,
2005-08-22,-0.83, -1.93, -16.17, 2.35, 1.72, 7.71, repro,
2005-08-23,3.58, 4.16, 7.62, 2.31, 1.71, 7.6, repro,
2005-08-24,0.14, -1.19, 6.73, 1.68, 1.32, 5.69, repro,
2005-08-25,5.71, -4.26, 10.88, 2.26, 1.68, 7.48, repro,
2005-08-26,1.59, -1.53, -3.48, 1.91, 1.44, 6.3, repro,
2005-08-27,0.65, -1.30, 3.96, 1.81, 1.36, 6.04, repro,
2005-08-28,-0.33, 0.76, 5.69, 2.1, 1.57, 7.06, repro,
2005-08-29,-4.34, 10.38, 7.35, 2.07, 1.54, 6.92, repro,
2005-08-30,-2.14, 3.79, 0.63, 1.8, 1.35, 6.02, repro,
2005-08-31,0.81, -0.33, -7.27, 1.67, 1.26, 5.64, repro,
2005-09-01,-0.46, -0.08, 3.56, 1.58, 1.2, 5.37, repro,
2005-09-02,0.37, 0.85, 12.12, 2.26, 1.66, 7.4, repro,
2005-09-03,1.31, 6.38, 13.19, 2.06, 1.53, 6.81, repro,
2005-09-04,-1.35, 2.69, 8.00, 1.79, 1.33, 6.01, repro,
2005-09-05,0.32, 0.42, 6.79, 1.85, 1.4, 6.23, repro,
2005-09-06,-0.21, 0.25, 6.90, 1.66, 1.25, 5.63, repro,
2005-09-07,-0.09, -1.80, 3.21, 1.68, 1.27, 5.73, repro,
2005-09-08,1.44, -0.17, -2.47, 2.08, 1.58, 7.16, repro,
2005-09-09,-1.91, 2.18, -2.99, 2.22, 1.67, 7.62, repro,
2005-09-10,-5.24, -1.70, 0.43, 2.14, 1.61, 7.47, repro,
2005-09-11,-2.42, -181.24, 23.55, 22.48, 22.91, 94.66, repro,
2005-09-12,-1.25, -3.78, 13.68, 1.94, 1.46, 6.73, repro,
2005-09-13,-4.11, -1.86, 9.38, 1.97, 1.49, 6.81, repro,
2005-09-14,0.11, -2.53, 3.88, 2.19, 1.65, 7.56, repro,
2005-09-15,-1.40, -1.54, 13.01, 2.16, 1.63, 7.47, repro,
2005-09-16,-2.87, 0.00, 13.97, 1.95, 1.49, 6.78, repro,
2005-09-17,1.03, 0.65, 3.72, 1.88, 1.41, 6.35, repro,
2005-09-18,-1.96, 3.26, 14.54, 1.97, 1.47, 6.54, repro,
2005-09-19,0.45, 7.87, 2.84, 3.77, 2.73, 10.86, repro,
2005-09-20,-1.14, 0.28, 10.91, 1.62, 1.24, 5.54, repro,
2005-09-21,-5.06, 0.49, 1.48, 2.1, 1.57, 7.01, repro,
2005-09-22,-2.64, 1.02, -0.81, 2.3, 1.7, 7.63, repro,
2005-09-23,-2.88, 2.83, -2.25, 1.97, 1.47, 6.55, repro,
2005-09-26,-1.40, -1.02, -0.41, 7.49, 6.51, 17.85, repro,
2005-09-27,-2.35, 0.13, 13.70, 1.79, 1.35, 6.04, repro,
2005-09-28,-2.28, 1.65, 16.41, 1.83, 1.38, 6.24, repro,
2005-09-29,1.95, 3.18, 5.96, 1.99, 1.5, 6.72, repro,
2005-09-30,-0.83, 2.81, 6.00, 1.96, 1.46, 6.57, repro,
2005-10-01,-0.29, 3.57, 10.11, 1.92, 1.44, 6.46, repro,
2005-10-02,1.12, 0.83, 3.16, 1.6, 1.22, 5.47, repro,
2005-10-03,0.24, 1.30, 7.08, 1.77, 1.33, 5.95, repro,
2005-10-04,-1.97, -1.12, 1.97, 1.8, 1.36, 6.03, repro,
2005-10-05,-2.28, 3.09, 4.47, 1.72, 1.29, 5.84, repro,
2005-10-06,-1.65, 3.96, 0.73, 2.09, 1.56, 6.91, repro,
2005-10-07,2.35, 4.13, 9.99, 2.1, 1.56, 6.92, repro,
2005-10-08,-2.45, 7.75, 7.33, 2.04, 1.53, 6.79, repro,
2005-10-09,-0.59, 0.77, 6.44, 1.94, 1.45, 6.46, repro,
2005-10-10,-0.85, 0.77, 7.44, 1.76, 1.31, 5.79, repro,
2005-10-11,-1.01, 0.34, 2.70, 1.59, 1.2, 5.38, repro,
2005-10-12,-1.39, 3.15, 11.58, 1.9, 1.42, 6.29, repro,
2005-10-13,-0.97, 1.15, 7.96, 1.93, 1.46, 6.38, repro,
2005-10-14,0.77, 0.55, 5.99, 1.72, 1.3, 5.75, repro,
2005-10-15,-4.28, 1.05, 7.67, 1.76, 1.32, 5.85, repro,
2005-10-16,0.34, 2.55, 2.40, 1.84, 1.37, 6.09, repro,
2005-10-17,-1.05, -2.03, -6.67, 2.35, 1.73, 7.7, repro,
2005-10-18,0.73, 2.88, 8.24, 2.12, 1.58, 6.93, repro,
2005-10-19,-0.02, 1.74, 0.83, 1.89, 1.42, 6.25, repro,
2005-10-20,-1.06, -0.20, 3.78, 1.95, 1.48, 6.5, repro,
2005-10-21,3.02, -3.67, 0.32, 1.97, 1.48, 6.54, repro,
2005-10-22,-1.74, -3.88, 1.05, 2.03, 1.52, 6.72, repro,
2005-10-23,-0.22, -2.12, -5.25, 2.02, 1.52, 6.69, repro,
2005-10-24,-2.31, 0.38, 4.23, 1.8, 1.36, 6, repro,
2005-10-25,-0.71, 1.38, 5.90, 1.69, 1.29, 5.71, repro,
2005-10-26,-1.26, 1.13, 9.06, 1.7, 1.3, 5.72, repro,
2005-10-27,-1.53, 2.43, 7.83, 1.92, 1.46, 6.42, repro,
2005-10-28,-1.58, 1.73, 4.60, 1.84, 1.41, 6.14, repro,
2005-10-29,-3.01, 1.69, 4.37, 1.8, 1.39, 6.02, repro,
2005-10-30,-3.64, 1.71, 5.28, 1.74, 1.35, 5.86, repro,
2005-10-31,-2.37, 0.40, 1.24, 1.93, 1.48, 6.41, repro,
2005-11-01,0.15, -0.55, 6.68, 2.03, 1.55, 6.81, repro,
2005-11-02,-2.16, 2.13, 9.63, 1.91, 1.48, 6.47, repro,
2005-11-03,0.39, -2.07, -2.49, 2.18, 1.66, 7.28, repro,
2005-11-04,-1.91, 0.54, 3.09, 1.86, 1.44, 6.27, repro,
2005-11-05,-5.66, 3.59, 1.01, 1.9, 1.51, 6.48, repro,
2005-11-06,-0.87, -0.41, -0.02, 1.82, 1.44, 6.15, repro,
2005-11-07,-3.37, -0.11, 2.93, 1.92, 1.48, 6.47, repro,
2005-11-08,-4.48, -0.15, 5.41, 1.88, 1.46, 6.28, repro,
2005-11-09,-3.71, -2.30, 1.96, 1.9, 1.48, 6.42, repro,
2005-11-10,-1.15, -2.58, 1.26, 1.93, 1.5, 6.5, repro,
2005-11-11,-3.63, -0.03, 3.28, 1.81, 1.42, 6.16, repro,
2005-11-12,-3.86, 0.33, 2.06, 1.8, 1.42, 6.15, repro,
2005-11-13,-2.92, 0.02, -1.34, 1.64, 1.28, 5.58, repro,
2005-11-14,-3.20, 0.23, 1.66, 1.72, 1.35, 5.81, repro,
2005-11-15,-3.07, 0.22, -2.96, 1.67, 1.32, 5.69, repro,
2005-11-16,-5.53, -0.60, -0.71, 1.78, 1.41, 6.02, repro,
2005-11-17,-4.23, 3.09, 2.23, 1.75, 1.39, 5.86, repro,
2005-11-18,-4.35, 2.23, 7.17, 1.68, 1.36, 5.65, repro,
2005-11-19,-2.44, 1.02, 7.60, 1.8, 1.45, 6.03, repro,
2005-11-20,-2.34, 1.39, 4.65, 1.82, 1.49, 6.17, repro,
2005-11-21,-3.32, 1.21, 7.24, 1.78, 1.43, 6.07, repro,
2005-11-22,-3.49, 0.81, 4.29, 1.68, 1.34, 5.63, repro,
2005-11-23,-3.01, 1.01, 8.56, 1.71, 1.38, 5.77, repro,
2005-11-24,-3.39, -0.54, 11.37, 1.79, 1.45, 6.07, repro,
2005-11-25,-1.81, 0.43, 2.09, 1.9, 1.52, 6.35, repro,
2005-11-26,-1.68, 1.77, 3.75, 1.78, 1.45, 6.02, repro,
2005-11-27,-3.04, 1.33, -4.97, 1.98, 1.55, 6.6, repro,
2005-11-28,-2.44, 1.29, -0.74, 1.86, 1.48, 6.23, repro,
2005-11-29,-2.55, 0.13, -1.74, 1.72, 1.37, 5.79, repro,
2005-11-30,-1.96, 1.89, -1.72, 1.68, 1.34, 5.67, repro,
2005-12-01,-2.04, 1.51, 0.94, 1.75, 1.42, 5.9, repro,
2005-12-02,-2.00, 1.73, 0.13, 1.69, 1.35, 5.74, repro,
2005-12-03,-2.04, 1.00, 3.30, 1.53, 1.23, 5.25, repro,
2005-12-04,-1.66, 1.07, -1.10, 1.76, 1.42, 5.89, repro,
2005-12-05,-2.95, 1.29, -3.95, 1.89, 1.49, 6.28, repro,
2005-12-06,-4.38, 1.77, 3.29, 1.84, 1.44, 6.14, repro,
2005-12-07,-5.73, -0.57, 4.43, 1.82, 1.44, 6.09, repro,
2005-12-08,-5.47, 0.50, 2.42, 1.88, 1.47, 6.27, repro,
2005-12-09,-2.80, 2.23, 5.46, 1.78, 1.4, 5.93, repro,
2005-12-10,-1.76, 2.12, 3.08, 1.62, 1.28, 5.45, repro,
2005-12-11,-2.06, 1.54, 6.76, 1.52, 1.21, 5.21, repro,
2005-12-12,-0.65, 2.64, 6.13, 1.74, 1.38, 5.82, repro,
2005-12-13,-3.62, 3.23, -0.21, 1.75, 1.39, 5.83, repro,
2005-12-14,-3.67, 3.46, 3.22, 1.61, 1.28, 5.39, repro,
2005-12-15,-3.90, 0.67, 0.15, 1.44, 1.16, 4.91, repro,
2005-12-16,-4.12, 1.73, 3.63, 1.58, 1.26, 5.28, repro,
2005-12-17,-4.29, 2.73, 5.74, 1.67, 1.32, 5.61, repro,
2005-12-18,-2.60, 1.38, 6.33, 1.77, 1.37, 5.89, repro,
2005-12-19,-1.67, 1.84, 4.15, 1.75, 1.39, 5.92, repro,
